Date,NASDQUE,DJIA
2013-09-30,4620.720215,15129.66992
2013-10-01,4623.640137,15191.7002
2013-10-02,4638.910156,15133.13965
2013-10-03,4630.740234,14996.48047
2013-10-04,4566.140137,15072.58008
2013-10-07,4549.22998,14936.24023
2013-10-08,4564.290039,14776.53027
2013-10-09,4485.930176,14802.98047
2013-10-10,4483.720215,15126.07031
2013-10-11,4452.790039,15237.11035
2013-10-14,4382.850098,15301.25977
2013-10-15,4419.47998,15168.00977
2013-10-16,4316.069824,15373.83008
2013-10-17,4258.439941,15371.65039
2013-10-18,4217.390137,15399.65039
2013-10-21,4215.319824,15392.2002
2013-10-22,4227.169922,15467.66016
2013-10-23,4213.660156,15413.33008
2013-10-24,4276.240234,15509.20996
2013-10-25,4378.339844,15570.28027
2013-10-28,4468.589844,15568.92969
2013-10-29,4385.200195,15680.34961
2013-10-30,4454.799805,15618.75977
2013-10-31,4475.620117,15545.75
2013-11-01,4430.200195,15615.54981
2013-11-04,4422.089844,15639.12012
2013-11-05,4493.390137,15618.21973
2013-11-06,4505.850098,15746.87988
2013-11-07,4512.189941,15593.98047
2013-11-08,4466.75,15761.78027
2013-11-11,4555.220215,15783.09961
2013-11-12,4508.689941,15750.66992
2013-11-13,4527.689941,15821.62988
2013-11-14,4579.790039,15876.21973
2013-11-15,4593.430176,15961.7002
2013-11-18,4562.189941,15976.01953
2013-11-19,4552.759766,15967.03027
2013-11-20,4518.899902,15900.82031
2013-11-21,4567.600098,16009.99023
2013-11-22,4591.810059,16064.76953
2013-11-25,4586.52002,16072.54004
2013-11-26,4552.290039,16072.79981
2013-11-27,4592.290039,16097.33008
2013-11-29,4582.899902,16086.41016
2013-12-02,4562.290039,16008.76953
2013-12-03,4572.560059,15914.62012
2013-12-04,4598.189941,15889.76953
2013-12-05,4580.27002,15821.50977
2013-12-06,4557.700195,16020.2002
2013-12-09,4569.620117,16025.53027
2013-12-10,4570.640137,15973.12988
2013-12-11,4557.350098,15843.53027
2013-12-12,4538.549805,15739.42969
2013-12-13,4532.100098,15755.36035
2013-12-16,4526.47998,15884.57031
2013-12-17,4527.509766,15875.25977
2013-12-18,4508.310059,16167.96973
2013-12-19,4464.930176,16179.08008
2013-12-20,4453,16221.13965
2013-12-23,4434.129883,16294.61035
2013-12-24,4389.25,16357.54981
2013-12-26,4401.330078,16479.88086
2013-12-27,4370.899902,16478.41016
2013-12-30,4334.970215,16504.28906
2013-12-31,4355.049805,16576.66016
2014-01-02,4352.839844,16441.34961
2014-01-03,4383.890137,16469.99023
2014-01-06,4352.640137,16425.09961
2014-01-07,4369.77002,16530.93945
2014-01-08,4462.899902,16462.74023
2014-01-09,4442.700195,16444.75977
2014-01-10,4444.910156,16437.05078
2014-01-13,4449.560059,16257.94043
2014-01-14,4472.109863,16373.86035
2014-01-15,4473.700195,16481.93945
2014-01-16,4456.02002,16417.00977
2014-01-17,4424.700195,16458.56055
2014-01-21,4432.149902,16414.43945
2014-01-22,4363.450195,16373.33984
2014-01-23,4425.970215,16197.34961
2014-01-24,4416.390137,15879.11035
2014-01-27,4440.419922,15837.87988
2014-01-28,4415.490234,15928.55957
2014-01-29,4396.200195,15738.79004
2014-01-30,4419.029785,15848.61035
2014-01-31,4391.459961,15698.84961
2014-02-03,4451.529785,15372.79981
2014-02-04,4485.930176,15445.24023
2014-02-05,4457.72998,15440.23047
2014-02-06,4458.649902,15628.53027
2014-02-07,4408.180176,15794.08008
2014-02-10,4397.930176,15801.79004
2014-02-11,4379.049805,15994.76953
2014-02-12,4379.759766,15963.94043
2014-02-13,4350.350098,16027.58984
2014-02-14,4368.680176,16154.38965
2014-02-18,4368.040039,16130.40039
2014-02-19,4359.330078,16040.55957
2014-02-20,4362.839844,16133.23047
2014-02-21,4337.22998,16103.29981
2014-02-24,4321.100098,16207.13965
2014-02-25,4310.649902,16179.66016
2014-02-26,4297.629883,16198.41016
2014-02-27,4331.930176,16272.65039
2014-02-28,4338,16321.70996
2014-03-03,4336.240234,16168.03027
2014-03-04,4321.399902,16395.88086
2014-03-05,4296.22998,16360.17969
2014-03-06,4251.640137,16421.89063
2014-03-07,4234.080078,16452.7207
2014-03-10,4237.200195,16418.67969
2014-03-11,4242.620117,16351.25
2014-03-12,4247.950195,16340.08008
2014-03-13,4225.080078,16108.88965
2014-03-14,4237.069824,16065.66992
2014-03-17,4185.810059,16247.21973
2014-03-18,4154.339844,16336.19043
2014-03-19,4131.540039,16222.16992
2014-03-20,4096.890137,16331.04981
2014-03-21,4125.810059,16302.76953
2014-03-24,4090.590088,16276.69043
2014-03-25,4069.290039,16367.87988
2014-03-26,4100.629883,16268.99023
2014-03-27,4130.169922,16264.23047
2014-03-28,4143.859863,16323.05957
2014-03-31,4071.870117,16457.66016
2014-04-01,4051.5,16532.60938
2014-04-02,4067.669922,16573
2014-04-03,4080.76001,16572.55078
2014-04-04,4138.060059,16412.71094
2014-04-07,4123.899902,16245.87012
2014-04-08,4127.450195,16256.13965
2014-04-09,4114.560059,16437.17969
2014-04-10,4103.540039,16170.21973
2014-04-11,4074.399902,16026.75
2014-04-14,4075.560059,16173.24023
2014-04-15,4148.339844,16262.55957
2014-04-16,4126.970215,16424.84961
2014-04-17,4161.459961,16408.53906
2014-04-21,4121.549805,16449.25
2014-04-22,4095.52002,16514.36914
2014-04-23,4086.22998,16501.65039
2014-04-24,4034.159912,16501.65039
2014-04-25,4022.689941,16361.45996
2014-04-28,3999.72998,16448.74023
2014-04-29,4054.110107,16535.36914
2014-04-30,4183.899902,16580.83984
2014-05-01,4112.990234,16558.86914
2014-05-02,4079.75,16512.89063
2014-05-05,4127.72998,16530.55078
2014-05-06,4237.740234,16401.01953
2014-05-07,4276.459961,16518.53906
2014-05-08,4268.040039,16550.9707
2014-05-09,4198.990234,16583.33984
2014-05-12,4155.759766,16695.4707
2014-05-13,4151.22998,16715.43945
2014-05-14,4173.580078,16613.9707
2014-05-15,4234.27002,16446.81055
2014-05-16,4226.390137,16491.31055
2014-05-19,4276.790039,16511.85938
2014-05-20,4319.290039,16374.30957
2014-05-21,4307.600098,16533.06055
2014-05-22,4333.310059,16543.08008
2014-05-23,4279.950195,16606.26953
2014-05-27,4245.399902,16675.5
2014-05-28,4260.419922,16633.17969
2014-05-29,4323.330078,16698.74023
2014-05-30,4307.189941,16717.16992
2014-06-02,4334.450195,16743.63086
2014-06-03,4336.220215,16722.33984
2014-06-04,4352.129883,16737.5293
2014-06-05,4357.970215,16836.10938
2014-06-06,4351.970215,16924.2793
2014-06-09,4277.299805,16943.09961
2014-06-10,4308.120117,16945.91992
2014-06-11,4318.930176,16843.88086
2014-06-12,4292.060059,16734.18945
2014-06-13,4287.589844,16775.74023
2014-06-16,4292.970215,16781.00977
2014-06-17,4263.410156,16808.49023
2014-06-18,4267.549805,16906.61914
2014-06-19,4237.950195,16921.46094
2014-06-20,4272.779785,16947.08008
2014-06-23,4244.02002,16937.25977
2014-06-24,4240.669922,16818.13086
2014-06-25,4201.290039,16867.50977
2014-06-26,4191.049805,16846.13086
2014-06-27,4148.169922,16851.83984
2014-06-30,4125.859863,16826.59961
2014-07-01,4057.120117,16956.07031
2014-07-02,4011.550049,16976.24023
2014-07-03,4031.52002,17068.25977
2014-07-07,3996.959961,17024.21094
2014-07-08,4103.879883,16906.61914
2014-07-09,4123.129883,16985.60938
2014-07-10,4051.429932,16915.07031
2014-07-11,4097.959961,16943.81055
2014-07-14,4083.610107,17055.41992
2014-07-15,4128.169922,17060.67969
2014-07-16,4218.879883,17138.19922
2014-07-17,4243,16976.81055
2014-07-18,4225.759766,17100.17969
2014-07-21,4197.580078,17051.73047
2014-07-22,4218.689941,17113.53906
2014-07-23,4214.879883,17086.63086
2014-07-24,4183.02002,17083.80078
2014-07-25,4113.299805,16960.57031
2014-07-28,4174.669922,16982.58984
2014-07-29,4156.189941,16912.10938
2014-07-30,4165.609863,16880.35938
2014-07-31,4153.180176,16563.30078
2014-08-01,4113.680176,16493.36914
2014-08-04,4131.910156,16569.2793
2014-08-05,4143.069824,16429.4707
2014-08-06,4176.589844,16443.33984
2014-08-07,4154.200195,16368.26953
2014-08-08,4156.589844,16553.92969
2014-08-11,4167.180176,16569.98047
2014-08-12,4155.419922,16560.53906
2014-08-13,4148.899902,16651.80078
2014-08-14,4104.740234,16713.58008
2014-08-15,4058.139893,16662.91016
2014-08-18,4070.060059,16838.74023
2014-08-19,4023.679932,16919.58984
2014-08-20,4029.52002,16979.13086
2014-08-21,4000.97998,17039.49023
2014-08-22,3998.399902,17001.2207
2014-08-25,4003.810059,17076.86914
2014-08-26,4060.48999,17106.69922
2014-08-27,4068.75,17122.00977
2014-08-28,4062.52002,17079.57031
2014-08-29,4033.169922,17098.44922
2014-09-02,4038,17067.56055
2014-09-03,4037.199951,17078.2793
2014-09-04,4045.26001,17069.58008
2014-09-05,4059.889893,17137.35938
